Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,24.945385575294495,0.20616307901218534,10.835423588752747,10.574592143297195,22.644230604578055,0.6850824910402298
2,25.082638561725616,0.17990664765238762,10.610648930072784,10.481717228889465,23.386269332686197,0.6974833580851555
3,25.101043105125427,0.1777064437046647,7.7173842042684555,7.786037504673004,23.509380778695718,0.704625799357891
4,25.105496108531952,0.16261896770447493,7.641463339328766,7.738689541816711,24.08373412859913,0.7198580080270767
5,25.146827578544617,0.16581173753365874,7.459691405296326,7.574384152889252,24.46971162496723,0.7327481400966644
6,25.12912619113922,0.15396935166791081,6.746176525950432,6.853294983506203,24.37343185912468,0.7311403840780258
7,25.1463982462883,0.15321051771752536,6.49926595389843,6.63665696978569,24.459082174439615,0.7512824630737305
8,25.030351996421814,0.1624421924352646,6.634235620498657,6.685161337256432,24.84232870833204,0.7600123792886734
9,24.967430591583252,0.14712950913235545,7.507795423269272,7.486264705657959,24.861198916025174,0.7716099998354912
10,25.11768400669098,0.1380426143296063,8.842253983020782,8.987616926431656,25.370963833019104,0.7769429534673691
11,25.036461293697357,0.12187096429988742,8.391130357980728,8.35840529203415,25.43671352916631,0.7849982440471649
12,24.984577476978302,0.11951112118549645,7.03138530254364,6.974179223179817,25.799938596649973,0.796860717535019
13,25.084488093852997,0.11595728667452931,6.491533190011978,6.568076118826866,25.769838684041385,0.8011162906885148
14,25.004393577575684,0.11112463544122875,8.068058520555496,8.224280223250389,26.034581815191178,0.8045173496007919
15,24.9798064827919,0.11194705031812191,12.174077659845352,12.337644934654236,25.827179172190814,0.8073200315237046
16,24.999839663505554,0.10633074305951595,10.184169977903366,9.790090128779411,25.476227315398067,0.8177527940273285
17,24.997897803783417,0.11396641633473337,5.796977803111076,5.694473385810852,26.257673895005492,0.8161514616012573
18,24.982991695404053,0.10457783634774387,5.0876860320568085,5.0428207367658615,26.161446725295235,0.8225632673501968
19,25.06430584192276,0.10151648102328181,6.474060297012329,6.582992643117905,26.644795740583827,0.8303066086769104
20,24.964250922203064,0.09344071336090565,9.502158045768738,9.617108881473541,26.739791184037664,0.8318474107980728
21,24.97400164604187,0.10236702160909772,11.328823328018188,11.26259857416153,26.764229562280796,0.8381320470571518
22,25.025677263736725,0.11150194238871336,10.063308835029602,10.056444674730301,26.279115375946528,0.8330354911088943
23,25.071854293346405,0.10398965771310031,9.276732683181763,9.283142268657684,26.36677384775747,0.8364180034399032
24,25.007336616516113,0.09282702254131436,9.565101891756058,9.60267025232315,27.091368867127766,0.8450000840425491
25,25.04068434238434,0.09083103621378541,10.43798702955246,10.481868624687195,26.685730765683807,0.8451720720529556
26,25.02862572669983,0.08772606472484767,10.896008521318436,10.912540405988693,27.234776689727287,0.8540982520580291
27,25.062454879283905,0.08453861973248422,10.324311971664429,10.400467425584793,26.855330464966105,0.8558759874105454
28,25.03920966386795,0.08180473069660366,11.143452227115631,11.237149953842163,27.549622347086373,0.8553086298704148
29,24.987566828727722,0.07962825265713036,12.789013534784317,12.759105414152145,25.738211736155,0.8536634033918381
30,25.079472601413727,0.08931161416694522,11.892320573329926,11.949703633785248,27.056245595690037,0.855491834282875
31,24.93958741426468,0.08215461927466094,11.505173921585083,11.296115040779114,27.71980516007064,0.8575562191009521
32,25.08573830127716,0.08325780765153468,7.23186331987381,7.223681479692459,27.371671542341453,0.863023173213005
33,24.939583361148834,0.08836282254196703,7.6156449764966965,7.693367540836334,25.673717207599708,0.8454309624433517
34,25.144601583480835,0.08897254010662436,9.16425096988678,9.30475828051567,26.722991252552937,0.8584859496355057
35,25.045450508594513,0.0861972295679152,9.358160525560379,9.384777784347534,27.344146938076417,0.860805874466896
36,24.988938212394714,0.08606035984121263,8.462220937013626,8.39598235487938,27.564304544324806,0.8633732181787491
37,25.105781376361847,0.07995719742029905,7.8999247550964355,7.988667964935303,27.560085338526314,0.8655829948186874
38,24.969932079315186,0.07930707233026624,8.844966322183609,8.825110077857971,27.238360270104096,0.8685291510820389
39,25.058393836021423,0.07958378386683762,8.857098519802094,8.73197090625763,26.45413303575282,0.8703350228071213
40,25.029210329055786,0.07942393235862255,6.673283368349075,6.694134920835495,27.880155607221933,0.8743115162849426
